Restaurants,1
Shopping,2
Beauty & Spas,3
Arts & Entertainment,4
Bars and Nightlife,5
Food,7
Fast Food,8
Pizza,9
Mexican,10
American,11
Chinese,12
Italian,13
Sandwiches,14
Burgers,15
Coffee & Tea,16
Breakfast & Brunch,17
